,roles,companies,locations,experience,salary,skills,Description,Roles,Education
1605,Cloud Engineer - Big Data/etl,Huquo Consulting Pvt. Ltd,Bengaluru,0 - 2 years,Not Disclosed,"Key Skills
AzureMultithreadingCloudBig DataETLAWSCloud InfrastructureCloud ArchitectSolution ArchitectAnalyticsOperating Systems","Job Description :

- Cloud Engineer to add to our ranks. Do you want to take your career in Cloud Engineering to support Big Data andor Analytics? Would you prefer to be in a platform agnostic environment working on some of the largest and most cutting-edge solutions in Data & Analytics?

- As an Architect on our Cloud Platforms & Infrastructure team, you will work with our teams to design, build and maintain cloud environments in any of the major cloud providers (AWS, Azure, Google Cloud Platform - GCP to name a few).

- This role will also include building, mentoring our Bangalore team and a willingness to assist in developing training collateral for our COE.

- While we expect you to have strong experience in infrastructure, #1 attribute we look for in all team members is a desire to learn and try new things and to participate in the development of the COE.

- We feel the platforms are evolving and you should want to grow too! As an Architect, you'll brainstorm and design the technical infrastructure and deployment of various enterprise-level multi-tenant IaaS and PaaS solutions around Data & Analytics solutions.

- We think it's vital to be open to trying new techniques, learning from all levels of the team, and to ready, willing and able to learn new technologies because they- re popping up fast in this growing field.

- This role offers amazing growth potential professionally since we are platform agnostic and work on bleeding edge solutions in the cloud!

Role Responsibilities of an ArchitectCloud Engineer :

- Architect on our Cloud Platforms and Infrastructure team has close to 5 - 8 years of experience in DevOps, SecOps, or SysOps in a large enterprise environment and would take a lead role in the design and analysis of a Cloud - based Big Data and Analytics solution in a variety of industries and computing environments.

- Architects plan system and development deployment and are responsible for meeting software compliance requirements.

- A key part of consulting versus being in an IT role, is that you would be able to articulate the differences between hardware and software options, operational requirements, and characteristics of the overall systems to help shape the solution.

- Your expertise in the use of Cloud architecture and solutions to support Big Data and Analytics solutions would enable software deployment in a DevOps environment.

- You would have strong comprehension of a wide application of technical principles, theories, and concepts in the field and apply general knowledge of related disciplines. Mentor Junior resources with your ideas and make them leaders

- You'd provide technical solutions related to supporting Big Data in the cloud to a wide range of difficult problems.

Skills and Qualifications :

- Bachelor's Degree or equivalent experience

- experience in a Cloud Engineering role

- Extensive experience in multiple operating systems - UNIX, Windows, LINUX

- experience with multi-threaded, big data, distributed Cloud architectures and frameworks, including Hadoop, MapReduce, Spark, Hive, and Elastic Search for the purpose of conducting big data analytics

- Strong experience (5+ years) with Amazon Web Services, Azure or Google Cloud Platform and all supporting technologies

- Expertise in troubleshooting very complex distributed environments, including following stack traces back to code and come up with a good root cause

- Strong background with Extract, Transform and Load (ETL) processes including document parsing techniques and mapping large data sets such as multi TB scale

- Willingness and appetite for continuous learning

- Desire to participate in the hiring and development of the team.

Additional Preferences :

- AGILE (Scrum, Kanban, SAFe)

- At least one Certification required- AWS (Solution Architect), AZURE (MSCE Cloud Expert), Google (Certified Data Engineer, Certified Cloud Admin)

- VLDB, OLTP, OLAP, EDW, Big Data, Streaming, Advanced Analytics efforts in the cloud

- BS Degree in CS, Statistics, Physics, Math, Engineering, etc.","RoleTechnical Architect
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Sc in Any Specialization, Maths, Physics, Computers, Statistics, B.Tech/B.E. in Any Specialization, Computers
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1606,Data Engineering Analyst || Chennai || 1 - 3 Years,ABCO INDIA PRIVATE LIMITED,Chennai,1 - 3 years,Not Disclosed,"Key Skills
MS SQLData EngineeringOracle SQLSQL DevelopmentPLSQLOracle Sql DeveloperSQL","Roles and Responsibilities

Analyse data exchange requirements
Build, test, and document interfaces
Troubleshoot issues in existing interfaces, Message processing, Subscription processing
Develop and enhance existing processes for building interfaces
Support project calls/meetings, Interact with customers
Perform maintenance tasks as needed in the interface environment
Monitoring and Support - Proactive ECG Failure analysis and fixing the issues identified
Escalate issues to tier 3 engineering as needed and Participate in war rooms as needed (On call support)
Support the production, pre-production and UAT deployment and perform checkouts to ensure the stability of the product
Perform User Acceptance testing on the ODXC/ODXP/ODXI and ODXD rally user stories tagged to specific releases
Desired Candidate Profile

Bachelor's degree or equivalent experience.
1+ Years relevant working experience
1+ years of experience working in Oracle (preferred) or MS SQL
1+ years of Linux experience XML
Working knowledge of network fundamentals (i.e. LAN/WAN)
Shell Scripts, and batch files
MS Office proficiency
Splunk and Dynatrace tools
Good Oral and written communication skills
Perks and Benefits

Experience in HL7 (Version 2.x, 3, CDA Clinical Document Architecture)
Scripting language experience with Perl or TCL. Others like JavaScript, KSH .etc.","RoleSystem Analyst
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization"
1607,Senior Big Data Engineer,Big Data BizViz (BizViz Technologies Pvt. Ltd),"Bengaluru, Hyderabad",5 - 10 years,Not Disclosed,"Key Skills
ERPMS SQLData analysisNoSQLcassandraMySQLScrumPattern recognitionData miningPython","DescriptionBizViz provides a 360 degree view of a business's data, serving any vertical and meeting the demanding needs of all business executives. With a 50+ strong team building the BizViz platform over several years, it is targeted at creating technological solutions that will give our customers the edge they need to succeed.

We strongly believe that our success lies in the success of our customers. We aim to build applications the way they envisioned, keeping each business' unique ideas and requirements in mind. We offer businesses a better alternative to using standard cookie- cutter ERP templates.

Job SummaryAs a Big Data Engineer, you will be a member of a small, agile team of data engineers responsible for developing an innovative big data platform as a service for enterprises that need to manage mission critical data and diverse application stakeholders at scale. The platform manages data ingestion, warehousing, and governance, and enables developers to quickly create complex queries. The platform provides automatic scaling and elasticity to enable efficient use of resources, and provides services such as security, logging, and data provenance so that third party developers can focus their energy on algorithms rather than administration. We're looking for engineers who want a technical challenge. Help us improve the platform for our current customers and develop new capabilities for our future customers.

Responsibilities

Senior Big Data Engineer is an integral part of the Data Science Innovation team that works closely with Internal/ External customer in all phases of the development.

Work with key stakeholders and understand their needs to develop new or improve existing solutions around data and analytics.

Work in a cross- functional, matrix organization, at times under ambiguous circumstances.

Partner in development of scalable solutions using large datasets with other data scientists on the team

Research innovative data solutions to solve real market problems.

Conceptualize, analyze and develop actionable recommendations for strategic challenges facing the organization.

Manage data analysis to develop fact- based recommendations for innovation projects.

Mine Big Data and other unstructured data to tap untouched data sources and deliver insight into new and emerging solutions.

Work with cross- functional teams to develop ideas and execute business plans.

Remain current on new developments in data analytics, Big Data, predictive analytics, and technology.Education, Experience, Skills and Abilities Required for Consideration as a Candidate:

BTech/ MCA degree or higher.

Minimum 5 year experience.

Candidates must be proficient in -

Java, Scala, Python

Apache Spark, Hadoop, Hive, Spark SQL, Spark Streaming, Apache Kafka

Well versed in various Predictive Algorithms, Mllib

Cassandra, RDMS (MYSQL, MS SQL, etc.), NOSQL, Columnar Databases, Big table.

Demonstrate a deep understanding of search engine technology. Ability to configure, index and maintain enterprise scale search applications. Proficient in writing custom handlers for Elasticsearch/ Solr.

Agile development including Scrum and other lean techniques.

Excellent problem solving skills with the ability to design algorithms, which may include data cleaning, data mining, data clustering and pattern recognition methodologies

Ability to work cross- functionally in a highly matrix driven organization, at times under ambiguous circumstances

Personal qualities desired: creativity, tenacity, curiosity, and passion for deep technical excellence.","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required"
1608,Data Science & Machine Learning Engineer,Pactera Technologies India Private Limited,Hyderabad,2 - 5 years,"₹ 10,00,000 - 20,00,000 P.A.","Key Skills
Decision TreesMachine LearningPython
Social Network AnalysisRArtificial Neural NetworksData AnalysisData MiningText MiningRandom Forest
Skills highlighted with ‘‘ are preferred keyskills","Job Description/Overview for Data Scientist (Machine Learning Engineer)
We are looking for a Data Scientist. The ideal candidate is adept at using large data sets for building various models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications for Data Scientist
Strong problem solving skills
Experience using statistical computer languages (R, Python, Google Big Query, Cloud AutoML) to manipulate data and draw insights from large data sets.
Experience working with data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Were looking for someone with 2-3 years of experience manipulating data sets and building statistical models, is a Engineering graduate from Tier 1 and Tier 2 schools in India and is familiar with the following software/tools:
Coding knowledge and experience with several languages: Python
Knowledge and experience in statistical and data mining techniques: Facebook Prophet, GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, Google Cloud Big Query, Auto ML and other Google products.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience visualizing/presenting data for stakeholders.","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization"
1609,Senior Trainer - Data Science/Artificial Intelligence/Machine Learning,Intelliworx Consulting,"Chennai, Bengaluru, Hyderabad",6 - 11 years,"₹ 15,00,000 - 30,00,000 P.A.","Key Skills
TensorflowPredictive ModelingCNNpythonTensorSASscikit-learnArtificial IntelligencenumpyTableauMachine LearningDeep LearningData SciencepandasRNNLinuxtrainerData Visualization","Understanding of machine learning algorithms, processes, tools, and platforms including:
CNN, RNN, NLP, Tensor flow, Py Torch. Proficient with the following (or comparable): Linux, Python, scikit-learn, NumPy, pandas,spaCy.

Required Candidate profile
Expert in Data Science & Business Analytics with strong foundation in Mathematics, Statistics, Machine Learning and Data Mining techniques and advance tools.
Tools - R, Python, SAS, Tableau","RoleCounselor
Industry TypeEducation, Teaching, Training
Functional AreaTeaching, Education, Training, Counselling
Employment TypeFull Time, Permanent
Role CategoryTeachers","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization"
1610,Content Data Analyst,Varite,Hyderabad,1 - 4 years,Not Disclosed,"Key Skills
AnalyticalCorporateData AnalystResearchIT asset management","Description
The candidates should be able to adhere with corporate etiquettes and working with high quality aggressive teams
Willing take up challenges and achieve targets on time. Willing to extend support where required and keep pace with the aggressive work environment of content curation
The person should also have an eye for the detail, good communication, analytical and reasoning skills
Experience in any research projects will be an added advantage
Able to work efficiently on high volume of data in a daily manner
Working knowledge of any IT Asset Management tools is a big plus
Content related: Any experience in a Data Content based project is a big plus","RoleIT/Technical Content Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1611,Content Data Analyst,Varite,Hyderabad,1 - 4 years,Not Disclosed,"Key Skills
AnalyticalCorporateData AnalystResearchIT asset management","Description
The candidates should be able to adhere with corporate etiquettes and working with high quality aggressive teams
Willing take up challenges and achieve targets on time. Willing to extend support where required and keep pace with the aggressive work environment of content curation
The person should also have an eye for the detail, good communication, analytical and reasoning skills
Experience in any research projects will be an added advantage
Able to work efficiently on high volume of data in a daily manner
Working knowledge of any IT Asset Management tools is a big plus
Content related: Any experience in a Data Content based project is a big plus","RoleIT/Technical Content Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryOther","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1612,Data Intelligence - Senior Analyst,"salesforce.com, inc.",Hyderabad,5 - 10 years,Not Disclosed,"Key Skills
Health insuranceCloud computingEquitySalesforce.comManager TechnologyEnterprise softwareAnalyticsCRMSQLSalesforce","We're hiring leads for multiple exciting high-profile projects, and have openings for Senior and Lead Analyst levels.
Who You Are:
Thought leader in analytics (6-10 years of experience in product analytics, sales analytics, marketing analytics or similar, as IC or people manager).
Laser focused on impact, balancing effort to value, and getting things done.
Curious, creative, opinionated thinker with a talent for detecting patterns and elevating through strategy.
Charismatic storyteller ready to lead growth conversations with senior leadership.
Expert in building relationships and collaborating in matrixed environments.
Advanced expert in SQL. Experience with Splunk, Python/R, and BI tools.
Lover of math with solid understanding of statistical methods.
Enterprise software geek. Passion for the Salesforce product is a plus!
What You Will Do:
As an Analytics lead, you will become a thought partner to the senior leadership of a specific product or initiative, and work on enterprise analytics problems that require tremendous creativity. Your goal will be to help shape Salesforce products by delivering insights, conducting adoption tests, and guiding a team of engineers and data scientists to productize these insights. This position will report to one of the leaders of the Strategy & Growth team. Successful candidate will need to:
Partner with Senior Leadership (VP+) to understand their business and advise on strategic objectives, product direction, roadmaps, growth goals, retention strategies, etc. Develop and own the relationships with senior stakeholders across the company
Produce insights (e.g. performance drivers, retention analysis, behavioral personas) to help grow Salesforce Cloud businesses. This requires acquiring, cleaning, structuring data from multiple sources (e.g. Hadoop, Splunk), and analyzing the data using SQL / Python / R.
When analyses are ready to be productized, own the delivery by working with engineers and data scientists to turn insights into self-service dashboards or data products.
Evangelize the insights through storytelling. Create easy-to-consume media that inspires into action anyone from senior execs to fellow analysts.
Contribute to expanding the Salesforce data culture by growing new relationships, hosting learning sessions, integrating or designing new tools, improving team processes, and other lateral activities.
Perks
A company that cares
Tremendous enterprise analytics challenges that have never been solved before
Opportunity to shape the direction of a multi-million dollar product line
A leadership team that gets it and are open to new ideas
Competitive salaries and generous equity
Comprehensive health insurance plan including dental and vision
Snacks, lots of snacks","RoleSoftware Developer
Industry TypeInternet, Ecommerce
Functional AreaIT Software - Application Programming, Maintenance
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Post Graduation Not Required"
1613,Data Engineer: Big Data,IBM,Hyderabad,4 - 8 years,Not Disclosed,"Key Skills
Scala programming data martHadoopNatural Language ProcessingBig DataKafkaUnix Shell Scriptingdata cleansingHive ETLSCALASparkETLPython","Roles and Responsibilities

Your Role and Responsibilities
As Data Engineer, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Hadoop based technologies along with Python & Spark programming.
Responsibilities:
Responsible to Ingest data from files, streams and databases. Process the data with Spark, Scala, Kafka, Hive and scoop
Develops Hadoop applications using Horton Works or other Hadoop distribution. Experienced with pulling data from various database systems, Network Elements and unstructured text from web, social media sites and other domain specific file
Develop efficient software code for multiple use cases leveraging Python and Big Data technologies for various use cases built on the platform
Provide high operational excellence guaranteeing high availability and platform stability
Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache Spark, Kafka, any Cloud computing etc.

Required Technical and Professional Expertise
Minimum 6+ years of experience in Big Data technologies
Minimum 4+ years of experience in Python and Scala programming
Experience in developing applications on Big Data and Cognitive technologies including API development
Application Development background along with knowledge of Analytics libraries, open-source Natural Language Processing, statistical and big data computing libraries
Expertise in Spark, Scala and Kafka technologies
Ability to demonstrate micro / macro designing and familiar with Unix Commands and basic work experience in Unix Shell Scripting
Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers

Preferred Technical and Professional Expertise
Expertise in Python or Scala programming
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications","RoleDatabase Architect/Designer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1614,Data Engineer: Big Data,IBM,Hyderabad,4 - 8 years,Not Disclosed,"Key Skills
Scala programming API developmentHadoopNatural Language ProcessingBig DataKafkaUnix Shell Scriptingbig data computing HiveSCALASparkETLPython","Roles and Responsibilities

As Data Engineer, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Hadoop based technologies along with Python & Spark programming.
Responsibilities:
Responsible to Ingest data from files, streams and databases. Process the data with Spark, Scala, Kafka, Hive and scoop
Develops Hadoop applications using Horton Works or other Hadoop distribution. Experienced with pulling data from various database systems, Network Elements and unstructured text from web, social media sites and other domain specific file
Develop efficient software code for multiple use cases leveraging Python and Big Data technologies for various use cases built on the platform
Provide high operational excellence guaranteeing high availability and platform stability
Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache Spark, Kafka, any Cloud computing etc.

Minimum 6+ years of experience in Big Data technologies
Minimum 4+ years of experience in Python and Scala programming
Experience in developing applications on Big Data and Cognitive technologies including API development
Application Development background along with knowledge of Analytics libraries, open-source Natural Language Processing, statistical and big data computing libraries
Expertise in Spark, Scala and Kafka technologies
Ability to demonstrate micro / macro designing and familiar with Unix Commands and basic work experience in Unix Shell Scripting
Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers

Expertise in Python or Scala programming
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications","RoleDatabase Architect/Designer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1615,Data Engineer: Big Data,IBM,Hyderabad,4 - 7 years,Not Disclosed,"Key Skills
HiveHadoopNatural Language ProcessingSCALABig DataKafkaUnix Shell ScriptingSparkETLPython","Roles and Responsibilities

As Data Engineer, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using Hadoop based technologies along with Python & Spark programming.
Responsibilities:
Responsible to Ingest data from files, streams and databases. Process the data with Spark, Scala, Kafka, Hive and scoop
Develops Hadoop applications using Horton Works or other Hadoop distribution. Experienced with pulling data from various database systems, Network Elements and unstructured text from web, social media sites and other domain specific file
Develop efficient software code for multiple use cases leveraging Python and Big Data technologies for various use cases built on the platform
Provide high operational excellence guaranteeing high availability and platform stability
Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache Spark, Kafka, any Cloud computing etc.
Minimum 6+ years of experience in Big Data technologies
Minimum 4+ years of experience in Python and Scala programming
Experience in developing applications on Big Data and Cognitive technologies including API development
Application Development background along with knowledge of Analytics libraries, open-source Natural Language Processing, statistical and big data computing libraries
Expertise in Spark, Scala and Kafka technologies
Ability to demonstrate micro / macro designing and familiar with Unix Commands and basic work experience in Unix Shell Scripting
Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers


Expertise in Python or Scala programming
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications.","RoleDatabase Architect/Designer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1616,Power BI Testing Engineer - Etl/data Warehousing,Mars Telecom Pvt. Ltd,Hyderabad,8 - 13 years,Not Disclosed,"Key Skills
Business IntelligenceBI ReportingData QualityPower BIDatabase TestingDashboard DesignData WarehousingData Governance","In this role, you'll get to:

- Works with stakeholders to define business questions, requirements, timelines, objectives, and success criteria to address needs

- Works closely with development team and QA to tune and optimize Power BI reports and dashboards

- Serves as Best Practices resource for Power BI initiatives in the organization Ability to participates in project planning and proof-of-concepts involving Power BI

- Experience in advanced statistical analysis to determine/validate trends and significant data relationships

- Strategize, develop and execute System and regression tests on company's Enterprise Data Warehouse and Big data solutions.

- Provide thought leadership on long term strategy planning and managing policy development to address complex business issues.

- Ensure adherence, assurance and review of ETL / BI Unit Testing. Drive process change, specifically around quality delivery, consistency and maintainability of Enterprise Data Warehouse.

- Design and deliver automation frameworks for company's Enterprise Data Warehouse.

- Strategize around data Governance, Data quality and automation framework to streamline the process.

- Excellent verbal and written communication. Excellent analytics, problem-solving and debugging skills

- Experience in working on global environments. Experience in designing the Test Strategy, writing Test Cases and Test execution activities for Data Warehouse Environment and BI solutions.

- Responsible for administering, supporting, monitoring, tuning and patching the Power BI reporting environment; This involves the management and administration of all components of the Power BI domain, including a clustered Power BI on premise data gateway environment

Mandatory skills: SQL Server,Microsoft Power BI,Power Query,Power Pivot/Power BI Modeling,Power BI Reporting,Power BI Service,Data Validation,SSAS Tabular/ Multi Modeling,DAX","RoleTesting Engineer
Industry TypeTelcom, ISP
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :B.Tech/B.E. in Any Specialization, BCA in Computers, B.Sc in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1617,Data Engineer - Big Data,IBM,Hyderabad,6 - 11 years,Not Disclosed,"Key Skills
JavaOrcSCALABig DataTechnology ConsultingSparkHdfsDesign ThinkingAvroSQL","Roles and Responsibilities

Your Role and Responsibilities:
As Spark Developer, you will develop, maintain, evaluate and test big data solutions. You will be involved in the design of data solutions using SQL with different Join techniques since all computations are done using SQL only.
Responsibilities:
Responsible to develop using Java / Scala
File partitioning works in HDFS, Compaction & Compression of files
Responsible for partitioning techniques of data with Spark PARTITION, DISTRIBUTE BY, CLUSTER
Run Spark jobs number of executors, cores, memory, sizing
Required Technical and Professional Expertise
Minimum 6+ years of experience in Spark Development skills with Java / Scala
Proven experience in SQL, with different Join techniques as the entire computation is done in SQL only.
Expertise how file partitioning works in HDFS, Compaction & Compression of files.
Proficient in Spark - Spark/SQL, Dataframes / Dataset. Should know partitioning techniques of data with Spark - PARTITION, DISTRIBUTE BY, CLUSTER BY etc
Ability to compute resources required to run Spark job i.e. number of executors, cores, memory, sizing etc
Preferred Technical and Professional Expertise
Experience with different storage formats (AVRO, PARQUET, ORC) etc. Should know how these file formats work.
Solid experience in demonstrating reading and understanding Spark optimiser plan. Should understand the bottleneck and identify root cause to plan for data computation accordingly
Work experience with IBM S3 storage and Alluxio caching is a plus point. IBM S3 is used as storage layer
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications","RoleSoftware Developer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - DBA, Datawarehousing
Employment TypeFull Time, Permanent
Role CategoryProgramming & Design","Education
UG :Any Graduate in Any Specialization
PG :Any Postgraduate in Any Specialization
Doctorate :Doctorate Not Required"
1618,Hiring For Data Engineer - Trigyn Technologies Ltd,Trigyn Technologies ltd,"Chennai, Pune, Mumbai, Bengaluru",5 - 10 years,Not Disclosed,"Key Skills
DockerHadoopGrafana
Skills highlighted with ‘‘ are preferred keyskills","Job Description

Current eVin Tech Stack
1. AWS Managed Resources
a. AWS EKS
b. AWS S3
c. AWS Load Balancing
d. AWS VPC
2. OS
a. CentOS
3. Build & Release

Ops Skill Sets Required
1. We need to have operational knowledge of the current eVin stack (See Above) and tools
2. Candidate needs to have operationally managed / used in production at least the following core components in production:
a. Apache Hadoop
b. Apache Cassandra
c. AWS EKS + Docker / Docker-Compose
d. MySQL / MariaDB
e. ElasticSearch / LogStash / Kibana
f. At least One automation tool - Chef / Puppet / Ansible
g. Grafana Monitoring Tool Hadoop

Skill Sets Required
1. Candidate needs to have operational knowledge on the below components
a. Apache Hadoop
b. Apache Spark
c. Apache Cassandra
2. Candidate Needs to have engineering knowledge on the following:
a. Building data pipelines on Apache Hadoop + Spark + Cassandra b. Java Based Big Data Code Development


If interested, kindly revert back with following details :
Total experience :
Current CTC :
Expected CTC :
Notice period :","RoleTechnical Support Engineer
Industry TypeIT-Software, Software Services
Functional AreaIT Software - Other
Employment TypeFull Time, Permanent
Role CategoryAdmin/Maintenance/Security/Datawarehousing","Education
UG :Any Graduate in Any Specialization"
